iter	Passed	Remaining
403	10378	10172
404	10402	10146
405	10426	10118
406	10454	10095
407	10481	10070
408	10507	10045
409	10531	10017
410	10559	9993
411	10587	9970
412	10616	9948
413	10643	9924
414	10669	9898
415	10694	9872
416	10718	9844
417	10743	9818
418	10771	9794
419	10798	9770
420	10826	9746
421	10852	9721
422	10878	9695
423	10901	9667
424	10927	9641
425	10954	9617
426	10980	9591
427	11009	9568
428	11034	9542
429	11063	9519
430	11089	9494
431	11112	9466
432	11136	9439
433	11166	9416
434	11192	9391
435	11217	9364
436	11243	9339
437	11268	9313
438	11295	9288
439	11321	9262
440	11345	9235
441	11374	9212
442	11401	9188
443	11427	9162
444	11453	9137
445	11484	9115
446	11511	9090
447	11537	9065
448	11564	9040
449	11592	9016
450	11617	8990
451	11643	8964
452	11670	8939
453	11699	8916
454	11722	8888
455	11748	8862
456	11775	8837
457	11800	8812
458	11824	8785
459	11851	8759
460	11877	8734
461	11904	8709
462	11929	8683
463	11954	8656
464	11980	8631
465	12006	8605
466	12034	8581
467	12058	8554
468	12081	8526
469	12105	8499
470	12130	8473
471	12157	8448
472	12184	8423
473	12207	8395
474	12234	8370
475	12259	8344
476	12283	8318
477	12309	8291
478	12335	8266
479	12360	8240
480	12387	8215
481	12412	8189
482	12441	8165
483	12468	8140
484	12496	8116
485	12522	8090
486	12549	8065
487	12575	8040
488	12601	8014
489	12626	7988
490	12655	7964
491	12680	7938
492	12705	7912
493	12730	7885
494	12757	7860
495	12782	7834
496	12808	7808
497	12834	7782
498	12859	7756
499	12886	7732
500	12912	7706
501	12937	7680
502	12961	7653
503	12987	7627
504	13010	7600
505	13037	7575
506	13068	7552
507	13104	7532
508	13136	7510
509	13164	7485
510	13193	7461
511	13224	7438
512	13260	7418
513	13296	7398
514	13330	7377
515	13357	7351
516	13386	7327
517	13414	7302
518	13439	7276
519	13466	7251
520	13491	7225
521	13518	7199
522	13542	7172
523	13569	7147
524	13597	7122
525	13622	7095
526	13647	7069
527	13671	7042
528	13697	7017
529	13723	6991
530	13749	6965
531	13776	6940
532	13801	6913
533	13827	6887
534	13854	6862
535	13883	6838
536	13909	6812
537	13934	6785
538	13958	6758
539	13983	6732
540	14007	6706
541	14033	6680
542	14061	6655
543	14092	6631
544	14120	6606
545	14148	6581
546	14173	6555
547	14201	6530
548	14229	6505
549	14255	6479
550	14282	6454
551	14308	6428
552	14334	6402
553	14363	6378
554	14389	6352
555	14415	6326
