iter	AUC	RMSE
352	0.8997755966	3.646810929
353	0.8998242132	3.646191303
354	0.8999284617	3.645187776
355	0.9000084019	3.644335273
356	0.9001558833	3.643011582
357	0.9002921079	3.641861344
358	0.9003211474	3.641355979
359	0.9003939092	3.640388609
360	0.900491632	3.639312061
361	0.9005500372	3.638714522
362	0.9006276934	3.637783609
363	0.90077648	3.636396212
364	0.9008507101	3.635762721
365	0.9009001425	3.635122908
366	0.9010288625	3.633775866
367	0.9011205489	3.632496681
368	0.9013301879	3.630762082
369	0.9013851672	3.630090431
370	0.9014905577	3.628816415
371	0.9015737607	3.627905295
372	0.9016323291	3.627218972
373	0.901647012	3.626830637
374	0.901745061	3.625869927
375	0.9018258169	3.624939365
376	0.9019083674	3.624017426
377	0.9019584523	3.623532501
378	0.902009353	3.622881855
379	0.9020736314	3.621939757
380	0.902222418	3.620580529
381	0.9022354694	3.620339263
382	0.9022831073	3.619533531
383	0.9024095432	3.618216986
384	0.9024573442	3.61763696
385	0.9025139549	3.616976952
386	0.9025829644	3.616182865
387	0.9026726932	3.615310833
388	0.9027069532	3.61478286
389	0.9027720474	3.613895191
390	0.9028488878	3.612960862
391	0.9028877159	3.612422769
392	0.9029723872	3.611334061
393	0.9030479225	3.610602209
394	0.9031210106	3.609816973
395	0.9032190597	3.608719132
396	0.9033032416	3.60777821
397	0.9033237976	3.607359436
398	0.903464427	3.605713332
399	0.9035399623	3.604933654
400	0.9036391534	3.603803496
401	0.9037881031	3.602490151
402	0.9039148654	3.601364734
403	0.9039409683	3.600844432
404	0.9040129144	3.600003803
405	0.9040576156	3.599413879
406	0.9042302211	3.597701925
407	0.9043400165	3.59661994
408	0.9044496487	3.595638108
409	0.9045193109	3.594933737
410	0.9046521094	3.593561893
411	0.9046726654	3.593146985
412	0.9047950228	3.592019734
413	0.9049025342	3.590876189
414	0.9049929155	3.590028657
415	0.9050338644	3.589331159
416	0.9050855808	3.588683543
417	0.9051470858	3.588011522
418	0.9052929358	3.586480159
419	0.9053526462	3.585687274
420	0.9054776139	3.584379415
421	0.9055430343	3.583285719
422	0.9056476091	3.582047417
423	0.9056883949	3.581507036
424	0.9057931328	3.58057765
425	0.9058954236	3.579300163
426	0.9059074962	3.578899246
427	0.9059663909	3.578361747
428	0.9060199018	3.577489914
429	0.9061998488	3.575960791
430	0.9062546649	3.575119627
431	0.9063310159	3.574394561
432	0.9064336329	3.57345239
